province,day,bad_or_very_bad_count,total_samples
Busan,1,15,362
Busan,2,15,362
Busan,3,15,362
Chungcheongbuk-do,1,48,362
Chungcheongbuk-do,2,48,362
Chungcheongbuk-do,3,48,362
Chungcheongnam-do,1,69,362
Chungcheongnam-do,2,69,362
Chungcheongnam-do,3,69,362
Daejeon,1,10,362
Daejeon,2,10,362
Daejeon,3,10,362
Gangwon-do,1,63,362
Gangwon-do,2,63,362
Gangwon-do,3,63,362
Gyeonggi-do,1,70,362
Gyeonggi-do,2,70,362
Gyeonggi-do,3,70,362
Gyeongsangbuk-do,1,62,362
Gyeongsangbuk-do,2,62,362
Gyeongsangbuk-do,3,62,362
Gyeongsangnam-do,1,66,362
Gyeongsangnam-do,2,66,362
Gyeongsangnam-do,3,66,362
Incheon,1,54,362
Incheon,2,54,362
Incheon,3,54,362
Jeju,1,14,362
Jeju,2,14,362
Jeju,3,14,362
Jeollabuk-do,1,34,362
Jeollabuk-do,2,34,362
Jeollabuk-do,3,34,362
Jeollanam-do,1,62,362
Jeollanam-do,2,62,362
Jeollanam-do,3,62,362
Ulsan,1,18,362
Ulsan,2,18,362
Ulsan,3,18,362
