province,day,type,ACC,POD,FAR,F1,CSI
Busan,1,Model_Pred,96.9613,26.6667,0.0000,42.1053,0.2667
Busan,1,Baseline_Forecast,97.5138,40.0000,0.0000,57.1429,0.4000
Busan,2,Model_Pred,96.4088,27.7778,0.0000,43.4783,0.2778
Busan,2,Baseline_Forecast,96.9613,38.8889,0.0000,56.0000,0.3889
Busan,3,Model_Pred,96.1326,30.0000,0.0000,46.1538,0.3000
Busan,3,Baseline_Forecast,96.1326,35.0000,12.5000,50.0000,0.3333
Chungcheongbuk-do,1,Model_Pred,91.1602,50.0000,25.0000,60.0000,0.4286
Chungcheongbuk-do,1,Baseline_Forecast,91.4365,54.1667,25.7143,62.6506,0.4561
Chungcheongbuk-do,2,Model_Pred,90.8840,49.1525,9.3750,63.7363,0.4677
Chungcheongbuk-do,2,Baseline_Forecast,91.7127,54.2373,8.5714,68.0851,0.5161
Chungcheongbuk-do,3,Model_Pred,91.4365,50.8197,3.1250,66.6667,0.5000
Chungcheongbuk-do,3,Baseline_Forecast,90.8840,50.8197,8.8235,65.2632,0.4844
Chungcheongnam-do,1,Model_Pred,91.9890,66.6667,11.5385,76.0331,0.6133
Chungcheongnam-do,1,Baseline_Forecast,91.7127,66.6667,13.2075,75.4098,0.6053
Chungcheongnam-do,2,Model_Pred,89.2265,58.1395,5.6604,71.9424,0.5618
Chungcheongnam-do,2,Baseline_Forecast,89.2265,58.1395,5.6604,71.9424,0.5618
Chungcheongnam-do,3,Model_Pred,86.7403,54.0816,5.3571,68.8312,0.5248
Chungcheongnam-do,3,Baseline_Forecast,87.5691,57.1429,5.0847,71.3376,0.5545
Daejeon,1,Model_Pred,96.6851,70.0000,56.2500,53.8462,0.3684
Daejeon,1,Baseline_Forecast,95.0276,80.0000,66.6667,47.0588,0.3077
Daejeon,2,Model_Pred,94.7514,42.8571,64.7059,38.7097,0.2400
Daejeon,2,Baseline_Forecast,94.1989,64.2857,64.0000,46.1538,0.3000
Daejeon,3,Model_Pred,96.6851,60.0000,40.0000,60.0000,0.4286
Daejeon,3,Baseline_Forecast,96.1326,66.6667,47.3684,58.8235,0.4167
Gangwon-do,1,Model_Pred,94.4751,74.6032,7.8431,82.4561,0.7015
Gangwon-do,1,Baseline_Forecast,93.9227,73.0159,9.8039,80.7018,0.6765
Gangwon-do,2,Model_Pred,91.7127,65.3333,7.5472,76.5625,0.6203
Gangwon-do,2,Baseline_Forecast,91.1602,62.6667,7.8431,74.6032,0.5949
Gangwon-do,3,Model_Pred,91.1602,64.2857,3.5714,77.1429,0.6279
Gangwon-do,3,Baseline_Forecast,90.8840,63.0952,3.6364,76.2590,0.6163
Gyeonggi-do,1,Model_Pred,93.9227,81.4286,13.6364,83.8235,0.7215
Gyeonggi-do,1,Baseline_Forecast,94.4751,84.2857,13.2353,85.5072,0.7468
Gyeonggi-do,2,Model_Pred,93.9227,77.3333,7.9365,84.0580,0.7250
Gyeonggi-do,2,Baseline_Forecast,94.4751,80.0000,7.6923,85.7143,0.7500
Gyeonggi-do,3,Model_Pred,91.4365,65.4762,3.5088,78.0142,0.6395
Gyeonggi-do,3,Baseline_Forecast,91.9890,69.0476,4.9180,80.0000,0.6667
Gyeongsangbuk-do,1,Model_Pred,90.6077,51.6129,11.1111,65.3061,0.4848
Gyeongsangbuk-do,1,Baseline_Forecast,91.1602,56.4516,12.5000,68.6275,0.5224
Gyeongsangbuk-do,2,Model_Pred,87.8453,43.6620,11.4286,58.4906,0.4133
Gyeongsangbuk-do,2,Baseline_Forecast,89.2265,53.5211,13.6364,66.0870,0.4935
Gyeongsangbuk-do,3,Model_Pred,89.2265,51.8987,2.3810,67.7686,0.5125
Gyeongsangbuk-do,3,Baseline_Forecast,89.2265,51.8987,2.3810,67.7686,0.5125
Gyeongsangnam-do,1,Model_Pred,90.6077,48.4848,0.0000,65.3061,0.4848
Gyeongsangnam-do,1,Baseline_Forecast,91.1602,53.0303,2.7778,68.6275,0.5224
Gyeongsangnam-do,2,Model_Pred,87.0166,37.3333,0.0000,54.3689,0.3733
Gyeongsangnam-do,2,Baseline_Forecast,87.8453,42.6667,3.0303,59.2593,0.4211
Gyeongsangnam-do,3,Model_Pred,85.9116,35.4430,0.0000,52.3364,0.3544
Gyeongsangnam-do,3,Baseline_Forecast,87.2928,41.7722,0.0000,58.9286,0.4177
Incheon,1,Model_Pred,88.6740,50.0000,34.1463,56.8421,0.3971
Incheon,1,Baseline_Forecast,87.8453,53.7037,39.5833,56.8627,0.3973
Incheon,2,Model_Pred,87.2928,45.4545,25.0000,56.6038,0.3947
Incheon,2,Baseline_Forecast,87.0166,51.5152,30.6122,59.1304,0.4198
Incheon,3,Model_Pred,86.4641,47.0588,9.0909,62.0155,0.4494
Incheon,3,Baseline_Forecast,88.1215,54.1176,8.0000,68.1481,0.5169
Jeju,1,Model_Pred,96.6851,28.5714,33.3333,40.0000,0.2500
Jeju,1,Baseline_Forecast,96.9613,42.8571,33.3333,52.1739,0.3529
Jeju,2,Model_Pred,95.0276,28.5714,33.3333,40.0000,0.2500
Jeju,2,Baseline_Forecast,95.3039,38.0952,33.3333,48.4848,0.3200
Jeju,3,Model_Pred,94.7514,29.6296,0.0000,45.7143,0.2963
Jeju,3,Baseline_Forecast,93.9227,29.6296,27.2727,42.1053,0.2667
Jeollabuk-do,1,Model_Pred,92.8177,52.9412,35.7143,58.0645,0.4091
Jeollabuk-do,1,Baseline_Forecast,92.5414,58.8235,39.3939,59.7015,0.4255
Jeollabuk-do,2,Model_Pred,92.2652,51.2195,27.5862,60.0000,0.4286
Jeollabuk-do,2,Baseline_Forecast,93.6464,65.8537,25.0000,70.1299,0.5400
Jeollabuk-do,3,Model_Pred,89.7790,37.2549,20.8333,50.6667,0.3393
Jeollabuk-do,3,Baseline_Forecast,91.4365,54.9020,22.2222,64.3678,0.4746
Jeollanam-do,1,Model_Pred,89.5028,46.7742,14.7059,60.4167,0.4328
Jeollanam-do,1,Baseline_Forecast,90.0552,48.3871,11.7647,62.5000,0.4545
Jeollanam-do,2,Model_Pred,85.0829,32.0000,11.1111,47.0588,0.3077
Jeollanam-do,2,Baseline_Forecast,85.9116,36.0000,10.0000,51.4286,0.3462
Jeollanam-do,3,Model_Pred,86.1878,41.1765,0.0000,58.3333,0.4118
Jeollanam-do,3,Baseline_Forecast,87.0166,45.8824,2.5000,62.4000,0.4535
Ulsan,1,Model_Pred,98.0663,61.1111,0.0000,75.8621,0.6111
Ulsan,1,Baseline_Forecast,97.7901,55.5556,0.0000,71.4286,0.5556
Ulsan,2,Model_Pred,97.7901,60.0000,0.0000,75.0000,0.6000
Ulsan,2,Baseline_Forecast,96.9613,45.0000,0.0000,62.0690,0.4500
Ulsan,3,Model_Pred,95.8564,40.0000,0.0000,57.1429,0.4000
Ulsan,3,Baseline_Forecast,95.8564,40.0000,0.0000,57.1429,0.4000
