day,province,Pred,Reanalysis,Forecast
1,Busan,24.204844,46.31418,32.606686
1,Chungcheongbuk-do,38.79218,38.58028,33.20915
1,Chungcheongnam-do,43.853146,43.973236,40.703053
1,Daejeon,32.670532,37.148193,29.934284
1,Gangwon-do,49.295845,54.68901,44.088593
1,Gyeonggi-do,47.47802,52.56514,36.922398
1,Gyeongsangbuk-do,43.348656,43.224407,45.5015
1,Gyeongsangnam-do,41.710392,49.346313,41.356773
1,Incheon,48.9828,50.507145,39.87297
1,Jeju,45.465748,59.382954,43.756565
1,Jeollabuk-do,40.135845,45.210564,37.294933
1,Jeollanam-do,36.82629,61.221844,42.976925
1,Ulsan,30.834702,46.33779,35.550743
2,Busan,27.448948,31.630411,35.142593
2,Chungcheongbuk-do,28.23626,32.94147,34.965153
2,Chungcheongnam-do,36.35556,39.054977,39.760643
2,Daejeon,25.027634,30.112,31.789515
2,Gangwon-do,38.775356,47.350704,44.17907
2,Gyeonggi-do,33.470024,47.158016,34.894596
2,Gyeongsangbuk-do,39.38685,36.254475,45.221413
2,Gyeongsangnam-do,35.69819,36.993713,43.79416
2,Incheon,37.760376,47.316795,38.6964
2,Jeju,41.25587,39.4318,43.848557
2,Jeollabuk-do,32.83946,35.49915,39.043533
2,Jeollanam-do,39.3208,38.946987,42.842518
2,Ulsan,33.282887,30.714855,38.6265
3,Busan,31.506657,34.61901,32.37246
3,Chungcheongbuk-do,43.12102,46.64053,39.923134
3,Chungcheongnam-do,45.316505,50.864403,44.395958
3,Daejeon,26.92135,29.787636,27.611534
3,Gangwon-do,42.34681,46.38849,43.472767
3,Gyeonggi-do,38.985806,44.575886,34.970657
3,Gyeongsangbuk-do,40.84148,48.251022,42.50287
3,Gyeongsangnam-do,43.934265,47.697678,41.997528
3,Incheon,41.98726,46.136776,39.510227
3,Jeju,47.365643,44.501686,41.983814
3,Jeollabuk-do,41.621056,41.31155,36.944435
3,Jeollanam-do,47.105373,47.67828,41.25617
3,Ulsan,35.478813,38.082115,33.571568
1,Busan,28.408855,31.630411,37.093857
1,Chungcheongbuk-do,29.354967,33.318565,35.48423
1,Chungcheongnam-do,36.539482,38.090527,39.638683
1,Daejeon,25.437527,30.112,32.766155
1,Gangwon-do,37.087082,47.27351,44.17907
1,Gyeonggi-do,31.918682,46.900024,34.790436
1,Gyeongsangbuk-do,37.201744,36.28195,45.48576
1,Gyeongsangnam-do,37.56498,37.514023,43.917492
1,Incheon,35.20778,46.36986,39.48758
1,Jeju,39.931908,39.599308,44.138435
1,Jeollabuk-do,33.838737,35.743683,39.50321
1,Jeollanam-do,39.336308,38.78866,43.217422
1,Ulsan,33.03288,30.662872,39.701084
2,Busan,29.131752,31.452581,32.182552
2,Chungcheongbuk-do,33.186295,42.011906,33.663082
2,Chungcheongnam-do,42.36706,44.014908,41.408497
2,Daejeon,23.932484,29.368906,26.263283
2,Gangwon-do,43.77981,46.84155,43.039894
2,Gyeonggi-do,39.693707,46.576702,36.587845
2,Gyeongsangbuk-do,41.077286,39.80925,42.642536
2,Gyeongsangnam-do,37.195324,39.90589,40.344982
2,Incheon,40.646168,47.037125,39.62084
2,Jeju,49.365063,44.762222,44.16978
2,Jeollabuk-do,35.125637,41.352722,36.608643
2,Jeollanam-do,43.82826,45.84801,42.822273
2,Ulsan,33.979073,33.6404,35.45067
3,Busan,31.771145,31.85246,27.894732
3,Chungcheongbuk-do,36.88478,41.843853,30.80922
3,Chungcheongnam-do,41.65382,60.048676,36.111874
3,Daejeon,29.553627,34.130352,24.3719
3,Gangwon-do,47.774727,47.942276,41.77901
3,Gyeonggi-do,47.94279,48.922783,37.45298
3,Gyeongsangbuk-do,41.556686,48.096844,40.672462
3,Gyeongsangnam-do,42.36628,48.012344,35.697453
3,Incheon,44.51988,56.558243,36.752884
3,Jeju,57.24055,56.022564,47.769222
