day,province,Pred,Reanalysis,Forecast
1,Busan,26.19935,46.31417,32.606686
1,Chungcheongbuk-do,32.335514,38.580276,33.20915
1,Chungcheongnam-do,41.778183,43.973244,40.703053
1,Daejeon,25.177763,37.148197,29.934284
1,Gangwon-do,41.501755,54.689014,44.088593
1,Gyeonggi-do,39.84999,52.56514,36.922398
1,Gyeongsangbuk-do,39.730305,43.22441,45.5015
1,Gyeongsangnam-do,38.885006,49.346306,41.356773
1,Incheon,41.014233,50.50715,39.87297
1,Jeju,50.21382,59.38295,43.756565
1,Jeollabuk-do,35.94236,45.210564,37.294933
1,Jeollanam-do,45.932404,61.22184,42.976925
1,Ulsan,32.361904,46.337795,35.550743
2,Busan,19.92329,31.630404,35.142593
2,Chungcheongbuk-do,26.60952,33.31857,34.965153
2,Chungcheongnam-do,34.762306,38.090523,39.760643
2,Daejeon,18.449427,30.111998,31.789515
2,Gangwon-do,35.27099,47.27351,44.17907
2,Gyeonggi-do,33.22433,46.90002,34.894596
2,Gyeongsangbuk-do,33.191658,36.28196,45.221413
2,Gyeongsangnam-do,31.890533,37.514027,43.79416
2,Incheon,35.075108,46.36987,38.6964
2,Jeju,43.339684,39.599308,43.848557
2,Jeollabuk-do,29.496817,35.743687,39.043533
2,Jeollanam-do,39.185265,38.78866,42.842518
2,Ulsan,26.334988,30.662876,38.6265
3,Busan,21.887672,29.335203,32.37246
3,Chungcheongbuk-do,27.55956,37.01888,39.923134
3,Chungcheongnam-do,37.584072,41.608486,44.395958
3,Daejeon,20.563343,30.838888,27.611534
3,Gangwon-do,37.263275,45.916775,43.472767
3,Gyeonggi-do,35.864456,46.5324,34.970657
3,Gyeongsangbuk-do,34.73588,37.822044,42.50287
3,Gyeongsangnam-do,34.945705,38.02508,41.997528
3,Incheon,37.117996,45.930218,39.510227
3,Jeju,45.299717,42.305824,41.983814
3,Jeollabuk-do,31.50118,38.228306,36.944435
3,Jeollanam-do,42.09782,40.678818,41.25617
3,Ulsan,28.88056,33.045563,33.571568
1,Busan,19.979885,31.630404,37.093857
1,Chungcheongbuk-do,27.57593,33.31857,35.48423
1,Chungcheongnam-do,33.96295,38.090523,39.638683
1,Daejeon,18.956003,30.111998,32.766155
1,Gangwon-do,34.62281,47.27351,44.17907
1,Gyeonggi-do,33.645325,46.90002,34.790436
1,Gyeongsangbuk-do,33.328934,36.28196,45.48576
1,Gyeongsangnam-do,33.393665,37.514027,43.917492
1,Incheon,34.307613,46.36987,39.48758
1,Jeju,44.274986,39.599308,44.138435
1,Jeollabuk-do,31.525314,35.743687,39.50321
1,Jeollanam-do,42.22834,38.78866,43.217422
1,Ulsan,26.186832,30.662876,39.701084
2,Busan,21.830456,29.335203,32.182552
2,Chungcheongbuk-do,28.80677,37.01888,33.663082
2,Chungcheongnam-do,35.185837,41.608486,41.408497
2,Daejeon,20.04928,30.838888,26.263283
2,Gangwon-do,35.433067,45.916775,43.039894
2,Gyeonggi-do,34.633026,46.5324,36.587845
2,Gyeongsangbuk-do,34.49174,37.822044,42.642536
2,Gyeongsangnam-do,35.123245,38.02508,40.344982
2,Incheon,35.715015,45.930218,39.62084
2,Jeju,45.609684,42.305824,44.16978
2,Jeollabuk-do,32.45392,38.228306,36.608643
2,Jeollanam-do,43.211304,40.678818,42.822273
2,Ulsan,26.947172,33.045563,35.45067
3,Busan,25.799694,30.551863,27.894732
3,Chungcheongbuk-do,33.099236,41.31117,30.80922
3,Chungcheongnam-do,39.684914,40.052876,36.111874
3,Daejeon,24.387815,34.217495,24.3719
3,Gangwon-do,40.6577,49.665432,41.77901
3,Gyeonggi-do,39.398052,48.643307,37.45298
3,Gyeongsangbuk-do,38.913807,41.736794,40.672462
3,Gyeongsangnam-do,40.14345,46.77302,35.697453
3,Incheon,39.850636,46.135193,36.752884
3,Jeju,50.067806,51.91795,47.769222
3,Jeollabuk-do,37.551506,43.226025,32.509167
3,Jeollanam-do,47.3872,50.918415,49.716125
3,Ulsan,32.154873,38.184753,29.709433
1,Busan,22.7953,29.335203,32.978443
1,Chungcheongbuk-do,30.508532,37.01888,32.79962
1,Chungcheongnam-do,36.349976,41.608486,37.824512
1,Daejeon,22.578194,30.838888,28.528898
1,Gangwon-do,37.032215,45.916775,44.499443
1,Gyeonggi-do,34.304916,46.5324,36.543545
1,Gyeongsangbuk-do,36.69975,37.822044,43.806995
1,Gyeongsangnam-do,38.22428,38.02508,40.339493
1,Incheon,40.341213,45.930218,38.361
1,Jeju,49.987526,42.305824,44.736717
1,Jeollabuk-do,35.196774,38.228306,36.543194
1,Jeollanam-do,45.244137,40.678818,43.50395
1,Ulsan,29.835312,33.045563,35.521908
2,Busan,24.874018,30.551863,28.04268
2,Chungcheongbuk-do,34.011753,41.31117,33.096188
2,Chungcheongnam-do,39.808014,40.052876,41.20611
2,Daejeon,24.557156,34.217495,21.848925
2,Gangwon-do,40.54139,49.665432,45.804283
2,Gyeonggi-do,37.795193,48.643307,38.660957
2,Gyeongsangbuk-do,40.35759,41.736794,44.031223
2,Gyeongsangnam-do,42.467953,46.77302,36.89059
2,Incheon,43.39114,46.135193,39.90762
2,Jeju,53.038433,51.91795,43.027363
2,Jeollabuk-do,39.062923,43.226025,35.425934
2,Jeollanam-do,49.49396,50.918415,41.135548
2,Ulsan,32.896275,38.184753,30.30697
3,Busan,31.017344,31.112413,28.171484
3,Chungcheongbuk-do,39.441982,45.42478,36.48025
