day,province,Pred,Reanalysis,Forecast
1,Busan,35.567165,46.31417,32.606686
1,Chungcheongbuk-do,36.704517,38.580276,33.20915
1,Chungcheongnam-do,48.839016,43.973244,40.703053
1,Daejeon,31.847622,37.148197,29.934284
1,Gangwon-do,47.4175,54.689014,44.088593
1,Gyeonggi-do,45.319042,52.56514,36.922398
1,Gyeongsangbuk-do,44.10822,43.22441,45.5015
1,Gyeongsangnam-do,43.81458,49.346306,41.356773
1,Incheon,46.94099,50.50715,39.87297
1,Jeju,55.873005,59.38295,43.756565
1,Jeollabuk-do,45.882084,45.210564,37.294933
1,Jeollanam-do,52.580788,61.22184,42.976925
1,Ulsan,49.026566,46.337795,35.550743
2,Busan,28.533895,31.630404,35.142593
2,Chungcheongbuk-do,27.581572,33.31857,34.965153
2,Chungcheongnam-do,36.976948,38.090523,39.760643
2,Daejeon,22.957172,30.111998,31.789515
2,Gangwon-do,42.43893,47.27351,44.17907
2,Gyeonggi-do,38.474285,46.90002,34.894596
2,Gyeongsangbuk-do,35.92113,36.28196,45.221413
2,Gyeongsangnam-do,36.25342,37.514027,43.79416
2,Incheon,39.795033,46.36987,38.6964
2,Jeju,45.64702,39.599308,43.848557
2,Jeollabuk-do,33.44243,35.743687,39.043533
2,Jeollanam-do,42.75333,38.78866,42.842518
2,Ulsan,29.231024,30.662876,38.6265
3,Busan,29.237514,29.335203,32.37246
3,Chungcheongbuk-do,30.170303,37.01888,39.923134
3,Chungcheongnam-do,40.574417,41.608486,44.395958
3,Daejeon,26.69307,30.838888,27.611534
3,Gangwon-do,39.750824,45.916775,43.472767
3,Gyeonggi-do,36.68736,46.5324,34.970657
3,Gyeongsangbuk-do,38.20352,37.822044,42.50287
3,Gyeongsangnam-do,41.539124,38.02508,41.997528
3,Incheon,41.06441,45.930218,39.510227
3,Jeju,46.4849,42.305824,41.983814
3,Jeollabuk-do,36.367702,38.228306,36.944435
3,Jeollanam-do,45.85132,40.678818,41.25617
3,Ulsan,35.512333,33.045563,33.571568
1,Busan,24.00668,31.630404,37.093857
1,Chungcheongbuk-do,29.495792,33.31857,35.48423
1,Chungcheongnam-do,42.16245,38.090523,39.638683
1,Daejeon,26.68374,30.111998,32.766155
1,Gangwon-do,43.32058,47.27351,44.17907
1,Gyeonggi-do,37.71566,46.90002,34.790436
1,Gyeongsangbuk-do,36.56142,36.28196,45.48576
1,Gyeongsangnam-do,41.326443,37.514027,43.917492
1,Incheon,39.59809,46.36987,39.48758
1,Jeju,47.724785,39.599308,44.138435
1,Jeollabuk-do,38.527786,35.743687,39.50321
1,Jeollanam-do,45.83271,38.78866,43.217422
1,Ulsan,31.796732,30.662876,39.701084
2,Busan,23.059353,29.335203,32.182552
2,Chungcheongbuk-do,32.735905,37.01888,33.663082
2,Chungcheongnam-do,38.32459,41.608486,41.408497
2,Daejeon,23.51623,30.838888,26.263283
2,Gangwon-do,40.107006,45.916775,43.039894
2,Gyeonggi-do,37.536957,46.5324,36.587845
2,Gyeongsangbuk-do,34.048473,37.822044,42.642536
2,Gyeongsangnam-do,36.460125,38.02508,40.344982
2,Incheon,39.049545,45.930218,39.62084
2,Jeju,45.80457,42.305824,44.16978
2,Jeollabuk-do,34.73932,38.228306,36.608643
2,Jeollanam-do,43.918163,40.678818,42.822273
2,Ulsan,32.325893,33.045563,35.45067
3,Busan,31.2806,30.551863,27.894732
3,Chungcheongbuk-do,36.887024,41.31117,30.80922
3,Chungcheongnam-do,44.015125,40.052876,36.111874
3,Daejeon,28.84663,34.217495,24.3719
3,Gangwon-do,45.204796,49.665432,41.77901
3,Gyeonggi-do,44.645527,48.643307,37.45298
3,Gyeongsangbuk-do,41.449234,41.736794,40.672462
3,Gyeongsangnam-do,44.201748,46.77302,35.697453
3,Incheon,43.598263,46.135193,36.752884
3,Jeju,51.615402,51.91795,47.769222
3,Jeollabuk-do,44.207745,43.226025,32.509167
3,Jeollanam-do,48.37487,50.918415,49.716125
3,Ulsan,37.234413,38.184753,29.709433
1,Busan,22.904188,29.335203,32.978443
1,Chungcheongbuk-do,32.743267,37.01888,32.79962
1,Chungcheongnam-do,40.097317,41.608486,37.824512
1,Daejeon,23.610968,30.838888,28.528898
1,Gangwon-do,42.700127,45.916775,44.499443
1,Gyeonggi-do,38.491272,46.5324,36.543545
1,Gyeongsangbuk-do,44.281937,37.822044,43.806995
1,Gyeongsangnam-do,43.782696,38.02508,40.339493
1,Incheon,41.4789,45.930218,38.361
1,Jeju,51.773674,42.305824,44.736717
1,Jeollabuk-do,39.26525,38.228306,36.543194
1,Jeollanam-do,50.15064,40.678818,43.50395
1,Ulsan,36.541447,33.045563,35.521908
2,Busan,27.31476,30.551863,28.04268
2,Chungcheongbuk-do,35.529957,41.31117,33.096188
2,Chungcheongnam-do,40.130817,40.052876,41.20611
2,Daejeon,24.822964,34.217495,21.848925
2,Gangwon-do,43.30214,49.665432,45.804283
2,Gyeonggi-do,41.893272,48.643307,38.660957
2,Gyeongsangbuk-do,42.518303,41.736794,44.031223
2,Gyeongsangnam-do,43.85805,46.77302,36.89059
2,Incheon,41.551216,46.135193,39.90762
2,Jeju,53.966805,51.91795,43.027363
2,Jeollabuk-do,40.27168,43.226025,35.425934
2,Jeollanam-do,50.4079,50.918415,41.135548
2,Ulsan,34.250565,38.184753,30.30697
3,Busan,33.810238,31.112413,28.171484
3,Chungcheongbuk-do,43.31039,45.42478,36.48025
3,Chungcheongnam-do,48.425667,43.70145,37.76012
3,Daejeon,33.10681,30.29225,22.89021
3,Gangwon-do,54.14636,50.06553,40.212788
