day,province,Pred,Reanalysis,Forecast
1,Busan,26.212364,46.31418,32.606686
1,Chungcheongbuk-do,38.257504,38.58028,33.20915
1,Chungcheongnam-do,42.848095,43.973236,40.703053
1,Daejeon,31.589542,37.148193,29.934284
1,Gangwon-do,49.108585,54.68901,44.088593
1,Gyeonggi-do,47.520535,52.56514,36.922398
1,Gyeongsangbuk-do,43.284344,43.224407,45.5015
1,Gyeongsangnam-do,41.334602,49.346313,41.356773
1,Incheon,45.746086,50.507145,39.87297
1,Jeju,45.581253,59.382954,43.756565
1,Jeollabuk-do,38.966835,45.210564,37.294933
1,Jeollanam-do,37.163624,61.221844,42.976925
1,Ulsan,29.969782,46.33779,35.550743
2,Busan,28.953508,31.630411,35.142593
2,Chungcheongbuk-do,29.573122,32.94147,34.965153
2,Chungcheongnam-do,35.073334,39.054977,39.760643
2,Daejeon,25.368612,30.112,31.789515
2,Gangwon-do,37.706043,47.350704,44.17907
2,Gyeonggi-do,32.765385,47.158016,34.894596
2,Gyeongsangbuk-do,37.80873,36.254475,45.221413
2,Gyeongsangnam-do,36.919415,36.993713,43.79416
2,Incheon,34.341663,47.316795,38.6964
2,Jeju,41.109276,39.4318,43.848557
2,Jeollabuk-do,33.276016,35.49915,39.043533
2,Jeollanam-do,37.754128,38.946987,42.842518
2,Ulsan,33.74498,30.714855,38.6265
3,Busan,31.847261,34.61901,32.37246
3,Chungcheongbuk-do,42.12351,46.64053,39.923134
3,Chungcheongnam-do,42.86388,50.864403,44.395958
3,Daejeon,24.781996,29.787636,27.611534
3,Gangwon-do,39.908367,46.38849,43.472767
3,Gyeonggi-do,37.24682,44.575886,34.970657
3,Gyeongsangbuk-do,38.681164,48.251022,42.50287
3,Gyeongsangnam-do,42.75732,47.697678,41.997528
3,Incheon,39.25846,46.136776,39.510227
3,Jeju,46.03566,44.501686,41.983814
3,Jeollabuk-do,38.942947,41.31155,36.944435
3,Jeollanam-do,43.550385,47.67828,41.25617
3,Ulsan,34.14886,38.082115,33.571568
1,Busan,31.416927,31.630411,37.093857
1,Chungcheongbuk-do,30.185019,33.318565,35.48423
1,Chungcheongnam-do,36.154873,38.090527,39.638683
1,Daejeon,26.257107,30.112,32.766155
1,Gangwon-do,37.05987,47.27351,44.17907
1,Gyeonggi-do,32.939907,46.900024,34.790436
1,Gyeongsangbuk-do,37.230827,36.28195,45.48576
1,Gyeongsangnam-do,39.23455,37.514023,43.917492
1,Incheon,34.49158,46.36986,39.48758
1,Jeju,38.73746,39.599308,44.138435
1,Jeollabuk-do,34.26632,35.743683,39.50321
1,Jeollanam-do,37.866863,38.78866,43.217422
