day,province,Pred,Reanalysis,Forecast
1,Busan,31.983017,46.31417,32.606686
1,Chungcheongbuk-do,34.60655,38.580276,33.20915
1,Chungcheongnam-do,41.00423,43.973244,40.703053
1,Daejeon,28.99779,37.148197,29.934284
1,Gangwon-do,40.44459,54.689014,44.088593
1,Gyeonggi-do,39.4843,52.56514,36.922398
1,Gyeongsangbuk-do,38.927124,43.22441,45.5015
1,Gyeongsangnam-do,39.2965,49.346306,41.356773
1,Incheon,40.119686,50.50715,39.87297
1,Jeju,48.28136,59.38295,43.756565
1,Jeollabuk-do,37.9308,45.210564,37.294933
1,Jeollanam-do,46.32557,61.22184,42.976925
1,Ulsan,35.307625,46.337795,35.550743
2,Busan,28.10806,31.630404,35.142593
2,Chungcheongbuk-do,29.664715,33.31857,34.965153
2,Chungcheongnam-do,34.42223,38.090523,39.760643
2,Daejeon,25.972977,30.111998,31.789515
2,Gangwon-do,34.1349,47.27351,44.17907
2,Gyeonggi-do,34.24227,46.90002,34.894596
2,Gyeongsangbuk-do,32.566357,36.28196,45.221413
2,Gyeongsangnam-do,33.097294,37.514027,43.79416
2,Incheon,33.889095,46.36987,38.6964
2,Jeju,40.44022,39.599308,43.848557
2,Jeollabuk-do,32.12516,35.743687,39.043533
2,Jeollanam-do,37.71564,38.78866,42.842518
2,Ulsan,30.925438,30.662876,38.6265
3,Busan,29.239935,29.335203,32.37246
3,Chungcheongbuk-do,31.636133,37.01888,39.923134
3,Chungcheongnam-do,37.419132,41.608486,44.395958
3,Daejeon,27.996819,30.838888,27.611534
3,Gangwon-do,37.25497,45.916775,43.472767
3,Gyeonggi-do,35.967213,46.5324,34.970657
3,Gyeongsangbuk-do,35.22347,37.822044,42.50287
3,Gyeongsangnam-do,35.602535,38.02508,41.997528
3,Incheon,37.611782,45.930218,39.510227
3,Jeju,44.3252,42.305824,41.983814
3,Jeollabuk-do,33.97294,38.228306,36.944435
3,Jeollanam-do,41.97348,40.678818,41.25617
3,Ulsan,32.546906,33.045563,33.571568
1,Busan,28.915285,31.630404,37.093857
1,Chungcheongbuk-do,31.022305,33.31857,35.48423
1,Chungcheongnam-do,34.53902,38.090523,39.638683
1,Daejeon,26.2855,30.111998,32.766155
1,Gangwon-do,34.74038,47.27351,44.17907
1,Gyeonggi-do,34.04335,46.90002,34.790436
1,Gyeongsangbuk-do,32.40917,36.28196,45.48576
1,Gyeongsangnam-do,34.22586,37.514027,43.917492
1,Incheon,33.257446,46.36987,39.48758
1,Jeju,40.79589,39.599308,44.138435
1,Jeollabuk-do,34.023613,35.743687,39.50321
1,Jeollanam-do,39.269325,38.78866,43.217422
1,Ulsan,31.455826,30.662876,39.701084
2,Busan,28.382933,29.335203,32.182552
2,Chungcheongbuk-do,31.55056,37.01888,33.663082
2,Chungcheongnam-do,37.0979,41.608486,41.408497
2,Daejeon,25.512417,30.838888,26.263283
2,Gangwon-do,36.17023,45.916775,43.039894
2,Gyeonggi-do,34.989613,46.5324,36.587845
2,Gyeongsangbuk-do,34.958187,37.822044,42.642536
2,Gyeongsangnam-do,36.3608,38.02508,40.344982
2,Incheon,37.151024,45.930218,39.62084
2,Jeju,44.087025,42.305824,44.16978
2,Jeollabuk-do,34.29052,38.228306,36.608643
2,Jeollanam-do,42.169037,40.678818,42.822273
2,Ulsan,31.33499,33.045563,35.45067
3,Busan,31.848036,30.551863,27.894732
3,Chungcheongbuk-do,34.97981,41.31117,30.80922
3,Chungcheongnam-do,40.97467,40.052876,36.111874
3,Daejeon,28.447472,34.217495,24.3719
3,Gangwon-do,39.44413,49.665432,41.77901
3,Gyeonggi-do,38.659172,48.643307,37.45298
3,Gyeongsangbuk-do,38.084873,41.736794,40.672462
3,Gyeongsangnam-do,40.765205,46.77302,35.697453
3,Incheon,40.298462,46.135193,36.752884
3,Jeju,48.771828,51.91795,47.769222
3,Jeollabuk-do,38.67147,43.226025,32.509167
3,Jeollanam-do,46.954082,50.918415,49.716125
3,Ulsan,34.14951,38.184753,29.709433
1,Busan,28.751308,29.335203,32.978443
1,Chungcheongbuk-do,32.056396,37.01888,32.79962
1,Chungcheongnam-do,36.328762,41.608486,37.824512
1,Daejeon,26.74519,30.838888,28.528898
1,Gangwon-do,35.495132,45.916775,44.499443
1,Gyeonggi-do,33.8442,46.5324,36.543545
1,Gyeongsangbuk-do,34.073498,37.822044,43.806995
1,Gyeongsangnam-do,37.186058,38.02508,40.339493
1,Incheon,37.151356,45.930218,38.361
1,Jeju,45.489605,42.305824,44.736717
1,Jeollabuk-do,36.16952,38.228306,36.543194
1,Jeollanam-do,43.360367,40.678818,43.50395
1,Ulsan,32.515022,33.045563,35.521908
2,Busan,30.148867,30.551863,28.04268
2,Chungcheongbuk-do,33.909397,41.31117,33.096188
2,Chungcheongnam-do,39.557133,40.052876,41.20611
2,Daejeon,26.82624,34.217495,21.848925
2,Gangwon-do,41.39385,49.665432,45.804283
2,Gyeonggi-do,36.037388,48.643307,38.660957
2,Gyeongsangbuk-do,38.033733,41.736794,44.031223
2,Gyeongsangnam-do,40.83976,46.77302,36.89059
2,Incheon,42.226757,46.135193,39.90762
2,Jeju,51.331554,51.91795,43.027363
2,Jeollabuk-do,38.351765,43.226025,35.425934
2,Jeollanam-do,48.096947,50.918415,41.135548
2,Ulsan,32.909367,38.184753,30.30697
3,Busan,32.699955,31.112413,28.171484
3,Chungcheongbuk-do,38.70318,45.42478,36.48025
3,Chungcheongnam-do,44.970062,43.70145,37.76012
3,Daejeon,27.907211,30.29225,22.89021
3,Gangwon-do,45.01375,50.06553,40.212788
3,Gyeonggi-do,40.082584,47.832306,32.13079
3,Gyeongsangbuk-do,42.68014,46.017185,43.598576
3,Gyeongsangnam-do,46.06386,50.91074,44.968838
3,Incheon,46.187973,53.460037,50.263226
3,Jeju,56.06882,56.39828,52.185734
3,Jeollabuk-do,43.353565,49.424248,43.060215
3,Jeollanam-do,53.04991,55.649086,51.436245
3,Ulsan,36.54321,44.620033,31.2257
