day,province,Pred,Reanalysis,Forecast
1,Busan,25.61984,46.31418,32.606686
1,Chungcheongbuk-do,39.36046,38.58028,33.20915
1,Chungcheongnam-do,47.3872,43.973236,40.703053
1,Daejeon,32.42238,37.148193,29.934284
1,Gangwon-do,49.89876,54.68901,44.088593
1,Gyeonggi-do,49.19181,52.56514,36.922398
1,Gyeongsangbuk-do,43.791054,43.224407,45.5015
1,Gyeongsangnam-do,42.892887,49.346313,41.356773
1,Incheon,50.13548,50.507145,39.87297
1,Jeju,47.034973,59.382954,43.756565
1,Jeollabuk-do,40.51161,45.210564,37.294933
1,Jeollanam-do,39.163692,61.221844,42.976925
1,Ulsan,31.72978,46.33779,35.550743
2,Busan,28.402008,31.630411,35.142593
2,Chungcheongbuk-do,29.487856,32.94147,34.965153
2,Chungcheongnam-do,37.521294,39.054977,39.760643
2,Daejeon,25.50697,30.112,31.789515
2,Gangwon-do,37.68127,47.350704,44.17907
2,Gyeonggi-do,33.823498,47.158016,34.894596
2,Gyeongsangbuk-do,37.878647,36.254475,45.221413
2,Gyeongsangnam-do,36.74592,36.993713,43.79416
2,Incheon,37.461716,47.316795,38.6964
2,Jeju,42.91336,39.4318,43.848557
2,Jeollabuk-do,33.466103,35.49915,39.043533
2,Jeollanam-do,40.704494,38.946987,42.842518
2,Ulsan,34.33405,30.714855,38.6265
3,Busan,33.065372,34.61901,32.37246
3,Chungcheongbuk-do,44.342636,46.64053,39.923134
3,Chungcheongnam-do,46.7165,50.864403,44.395958
3,Daejeon,26.122284,29.787636,27.611534
3,Gangwon-do,41.810036,46.38849,43.472767
3,Gyeonggi-do,39.557167,44.575886,34.970657
3,Gyeongsangbuk-do,41.858715,48.251022,42.50287
3,Gyeongsangnam-do,45.60795,47.697678,41.997528
3,Incheon,41.833134,46.136776,39.510227
3,Jeju,49.12898,44.501686,41.983814
3,Jeollabuk-do,42.265476,41.31155,36.944435
3,Jeollanam-do,48.44141,47.67828,41.25617
3,Ulsan,36.954285,38.082115,33.571568
1,Busan,29.551256,31.630411,37.093857
1,Chungcheongbuk-do,31.072548,33.318565,35.48423
1,Chungcheongnam-do,38.18737,38.090527,39.638683
1,Daejeon,25.810474,30.112,32.766155
1,Gangwon-do,38.093388,47.27351,44.17907
1,Gyeonggi-do,34.30275,46.900024,34.790436
1,Gyeongsangbuk-do,38.81793,36.28195,45.48576
1,Gyeongsangnam-do,38.316895,37.514023,43.917492
1,Incheon,36.856716,46.36986,39.48758
1,Jeju,40.202625,39.599308,44.138435
1,Jeollabuk-do,34.32709,35.743683,39.50321
1,Jeollanam-do,40.778408,38.78866,43.217422
1,Ulsan,34.400497,30.662872,39.701084
2,Busan,28.528776,31.452581,32.182552
2,Chungcheongbuk-do,32.953106,42.011906,33.663082
2,Chungcheongnam-do,42.9148,44.014908,41.408497
2,Daejeon,23.474733,29.368906,26.263283
2,Gangwon-do,42.658276,46.84155,43.039894
2,Gyeonggi-do,39.889652,46.576702,36.587845
2,Gyeongsangbuk-do,40.81043,39.80925,42.642536
2,Gyeongsangnam-do,38.236366,39.90589,40.344982
2,Incheon,41.04721,47.037125,39.62084
2,Jeju,46.87739,44.762222,44.16978
2,Jeollabuk-do,36.036602,41.352722,36.608643
2,Jeollanam-do,44.774586,45.84801,42.822273
2,Ulsan,33.796795,33.6404,35.45067
3,Busan,30.919497,31.85246,27.894732
3,Chungcheongbuk-do,37.796215,41.843853,30.80922
3,Chungcheongnam-do,42.639046,60.048676,36.111874
3,Daejeon,28.412786,34.130352,24.3719
3,Gangwon-do,47.4746,47.942276,41.77901
3,Gyeonggi-do,47.950584,48.922783,37.45298
3,Gyeongsangbuk-do,41.195633,48.096844,40.672462
3,Gyeongsangnam-do,45.07866,48.012344,35.697453
3,Incheon,45.385002,56.558243,36.752884
3,Jeju,57.99844,56.022564,47.769222
3,Jeollabuk-do,41.426918,44.29647,32.509167
3,Jeollanam-do,59.750507,57.831482,49.716125
3,Ulsan,34.61053,42.59057,29.709433
1,Busan,29.98877,29.3352,32.978443
1,Chungcheongbuk-do,33.829533,37.01888,32.79962
1,Chungcheongnam-do,38.67575,41.608486,37.824512
1,Daejeon,25.579878,30.838888,28.528898
1,Gangwon-do,43.402008,45.916782,44.499443
1,Gyeonggi-do,39.838226,46.5324,36.543545
1,Gyeongsangbuk-do,41.891716,37.82204,43.806995
1,Gyeongsangnam-do,41.571625,38.02508,40.339493
1,Incheon,42.34586,45.930218,38.361
1,Jeju,47.330936,42.30582,44.736717
1,Jeollabuk-do,40.487946,38.22831,36.543194
1,Jeollanam-do,46.62144,40.678818,43.50395
1,Ulsan,34.669838,33.045563,35.521908
2,Busan,29.482363,34.113796,28.04268
2,Chungcheongbuk-do,38.544556,41.620533,33.096188
2,Chungcheongnam-do,49.237347,65.42843,41.20611
2,Daejeon,24.798042,31.764343,21.848925
2,Gangwon-do,46.72691,50.460728,45.804283
2,Gyeonggi-do,46.995407,50.130764,38.660957
2,Gyeongsangbuk-do,41.308105,46.505913,44.031223
2,Gyeongsangnam-do,45.68489,47.594368,36.89059
2,Incheon,47.502277,58.07516,39.90762
2,Jeju,53.422436,51.933685,43.027363
