day,province,Pred,Reanalysis,Forecast
1,Busan,24.739035,46.31417,32.606686
1,Chungcheongbuk-do,30.18321,38.580276,33.20915
1,Chungcheongnam-do,37.960636,43.973244,40.703053
1,Daejeon,21.663603,37.148197,29.934284
1,Gangwon-do,38.473305,54.689014,44.088593
1,Gyeonggi-do,34.988586,52.56514,36.922398
1,Gyeongsangbuk-do,34.85373,43.22441,45.5015
1,Gyeongsangnam-do,35.83412,49.346306,41.356773
1,Incheon,38.688744,50.50715,39.87297
1,Jeju,47.13681,59.38295,43.756565
1,Jeollabuk-do,33.8523,45.210564,37.294933
1,Jeollanam-do,43.793995,61.22184,42.976925
1,Ulsan,29.343012,46.337795,35.550743
2,Busan,23.715488,31.630404,35.142593
2,Chungcheongbuk-do,29.474207,33.31857,34.965153
2,Chungcheongnam-do,33.305866,38.090523,39.760643
2,Daejeon,23.824715,30.111998,31.789515
2,Gangwon-do,33.703262,47.27351,44.17907
2,Gyeonggi-do,33.00274,46.90002,34.894596
2,Gyeongsangbuk-do,31.534977,36.28196,45.221413
2,Gyeongsangnam-do,33.41182,37.514027,43.79416
2,Incheon,33.019844,46.36987,38.6964
2,Jeju,41.677822,39.599308,43.848557
2,Jeollabuk-do,31.65956,35.743687,39.043533
2,Jeollanam-do,38.154545,38.78866,42.842518
2,Ulsan,28.03398,30.662876,38.6265
3,Busan,25.761429,29.335203,32.37246
3,Chungcheongbuk-do,30.941732,37.01888,39.923134
3,Chungcheongnam-do,35.274822,41.608486,44.395958
3,Daejeon,24.477623,30.838888,27.611534
3,Gangwon-do,35.62491,45.916775,43.472767
3,Gyeonggi-do,34.306194,46.5324,34.970657
3,Gyeongsangbuk-do,33.30708,37.822044,42.50287
3,Gyeongsangnam-do,34.81003,38.02508,41.997528
3,Incheon,35.32103,45.930218,39.510227
3,Jeju,44.18749,42.305824,41.983814
3,Jeollabuk-do,33.560688,38.228306,36.944435
3,Jeollanam-do,39.79097,40.678818,41.25617
3,Ulsan,29.600582,33.045563,33.571568
1,Busan,23.419008,31.630404,37.093857
1,Chungcheongbuk-do,28.602396,33.31857,35.48423
1,Chungcheongnam-do,31.53208,38.090523,39.638683
1,Daejeon,22.551994,30.111998,32.766155
1,Gangwon-do,32.29441,47.27351,44.17907
1,Gyeonggi-do,30.811056,46.90002,34.790436
1,Gyeongsangbuk-do,30.22498,36.28196,45.48576
1,Gyeongsangnam-do,32.960873,37.514027,43.917492
1,Incheon,31.54694,46.36987,39.48758
1,Jeju,41.269596,39.599308,44.138435
1,Jeollabuk-do,31.321775,35.743687,39.50321
1,Jeollanam-do,38.89018,38.78866,43.217422
1,Ulsan,26.329353,30.662876,39.701084
2,Busan,26.100277,29.335203,32.182552
2,Chungcheongbuk-do,31.525072,37.01888,33.663082
2,Chungcheongnam-do,35.843628,41.608486,41.408497
2,Daejeon,24.497725,30.838888,26.263283
2,Gangwon-do,36.179882,45.916775,43.039894
2,Gyeonggi-do,34.131435,46.5324,36.587845
2,Gyeongsangbuk-do,34.54769,37.822044,42.642536
2,Gyeongsangnam-do,36.59677,38.02508,40.344982
2,Incheon,35.37771,45.930218,39.62084
2,Jeju,45.823025,42.305824,44.16978
2,Jeollabuk-do,34.992714,38.228306,36.608643
2,Jeollanam-do,42.98034,40.678818,42.822273
2,Ulsan,28.922457,33.045563,35.45067
3,Busan,29.148645,30.551863,27.894732
3,Chungcheongbuk-do,34.074223,41.31117,30.80922
3,Chungcheongnam-do,38.946186,40.052876,36.111874
3,Daejeon,26.461739,34.217495,24.3719
3,Gangwon-do,39.150772,49.665432,41.77901
3,Gyeonggi-do,37.478374,48.643307,37.45298
3,Gyeongsangbuk-do,37.61241,41.736794,40.672462
3,Gyeongsangnam-do,39.79509,46.77302,35.697453
3,Incheon,39.465073,46.135193,36.752884
3,Jeju,50.55585,51.91795,47.769222
3,Jeollabuk-do,37.98345,43.226025,32.509167
3,Jeollanam-do,46.802197,50.918415,49.716125
3,Ulsan,33.289326,38.184753,29.709433
1,Busan,23.68816,29.335203,32.978443
1,Chungcheongbuk-do,29.531687,37.01888,32.79962
1,Chungcheongnam-do,32.3738,41.608486,37.824512
1,Daejeon,21.529316,30.838888,28.528898
1,Gangwon-do,33.631752,45.916775,44.499443
1,Gyeonggi-do,30.884516,46.5324,36.543545
1,Gyeongsangbuk-do,32.054676,37.822044,43.806995
1,Gyeongsangnam-do,35.06864,38.02508,40.339493
1,Incheon,34.612972,45.930218,38.361
1,Jeju,43.82334,42.305824,44.736717
1,Jeollabuk-do,33.078667,38.228306,36.543194
1,Jeollanam-do,41.054653,40.678818,43.50395
